GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0022200002,98,2544,LeBron James,1610612747,Los Angeles Lakers,1,5,24,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-26,16,1,1,20221018,GSW,LAL
Shot Chart Detail,0022200002,233,2544,LeBron James,1610612747,Los Angeles Lakers,2,11,30,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-1,11,1,1,20221018,GSW,LAL
Shot Chart Detail,0022200002,252,2544,LeBron James,1610612747,Los Angeles Lakers,2,10,5,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,1,1,1,20221018,GSW,LAL
Shot Chart Detail,0022200002,356,2544,LeBron James,1610612747,Los Angeles Lakers,2,3,53,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,9,11,1,1,20221018,GSW,LAL
Shot Chart Detail,0022200002,382,2544,LeBron James,1610612747,Los Angeles Lakers,2,1,48,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,9,2,1,1,20221018,GSW,LAL
Shot Chart Detail,0022200002,439,2544,LeBron James,1610612747,Los Angeles Lakers,3,10,49,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-169,177,1,1,20221018,GSW,LAL
Shot Chart Detail,0022200002,469,2544,LeBron James,1610612747,Los Angeles Lakers,3,8,44,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,8,1,1,20221018,GSW,LAL
Shot Chart Detail,0022200002,595,2544,LeBron James,1610612747,Los Angeles Lakers,3,1,11,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,6,1,1,20221018,GSW,LAL
Shot Chart Detail,0022200002,604,2544,LeBron James,1610612747,Los Angeles Lakers,3,0,6,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-51,246,1,1,20221018,GSW,LAL
Shot Chart Detail,0022200002,631,2544,LeBron James,1610612747,Los Angeles Lakers,4,10,27,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,10,1,1,20221018,GSW,LAL
Shot Chart Detail,0022200002,653,2544,LeBron James,1610612747,Los Angeles Lakers,4,9,4,Made Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,0,1,1,20221018,GSW,LAL
Shot Chart Detail,0022200002,723,2544,LeBron James,1610612747,Los Angeles Lakers,4,3,46,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,237,17,1,1,20221018,GSW,LAL
Shot Chart Detail,0022200016,21,2544,LeBron James,1610612747,Los Angeles Lakers,1,10,30,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-56,272,1,1,20221020,LAL,LAC
Shot Chart Detail,0022200016,42,2544,LeBron James,1610612747,Los Angeles Lakers,1,8,52,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center(LC),16-24 ft.,20,-113,175,1,1,20221020,LAL,LAC
Shot Chart Detail,0022200016,193,2544,LeBron James,1610612747,Los Angeles Lakers,2,10,58,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,27,-49,272,1,1,20221020,LAL,LAC
Shot Chart Detail,0022200016,311,2544,LeBron James,1610612747,Los Angeles Lakers,2,2,3,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,0,32,1,1,20221020,LAL,LAC
Shot Chart Detail,0022200016,396,2544,LeBron James,1610612747,Los Angeles Lakers,3,7,52,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-15,38,1,1,20221020,LAL,LAC
Shot Chart Detail,0022200016,516,2544,LeBron James,1610612747,Los Angeles Lakers,3,0,59,Made Shot,Running Dunk Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,16,53,1,1,20221020,LAL,LAC
Shot Chart Detail,0022200016,560,2544,LeBron James,1610612747,Los Angeles Lakers,4,10,53,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-22,22,1,1,20221020,LAL,LAC
Shot Chart Detail,0022200037,188,2544,LeBron James,1610612747,Los Angeles Lakers,1,0,27,Made Shot,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,1,51,1,1,20221023,LAL,POR
Shot Chart Detail,0022200037,260,2544,LeBron James,1610612747,Los Angeles Lakers,2,7,51,Made Shot,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,2,42,1,1,20221023,LAL,POR
Shot Chart Detail,0022200037,333,2544,LeBron James,1610612747,Los Angeles Lakers,2,3,21,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-2,21,1,1,20221023,LAL,POR
Shot Chart Detail,0022200037,364,2544,LeBron James,1610612747,Los Angeles Lakers,2,0,45,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,25,1,1,20221023,LAL,POR
Shot Chart Detail,0022200037,421,2544,LeBron James,1610612747,Los Angeles Lakers,3,9,3,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,15,1,1,20221023,LAL,POR
Shot Chart Detail,0022200037,533,2544,LeBron James,1610612747,Los Angeles Lakers,3,0,59,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,108,230,1,1,20221023,LAL,POR
Shot Chart Detail,0022200037,540,2544,LeBron James,1610612747,Los Angeles Lakers,3,0,30,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-83,253,1,1,20221023,LAL,POR
Shot Chart Detail,0022200037,609,2544,LeBron James,1610612747,Los Angeles Lakers,4,7,33,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,1,1,1,20221023,LAL,POR
Shot Chart Detail,0022200037,627,2544,LeBron James,1610612747,Los Angeles Lakers,4,5,29,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,1,10,1,1,20221023,LAL,POR
Shot Chart Detail,0022200037,630,2544,LeBron James,1610612747,Los Angeles Lakers,4,4,42,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-28,15,1,1,20221023,LAL,POR
Shot Chart Detail,0022200037,665,2544,LeBron James,1610612747,Los Angeles Lakers,4,1,56,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-17,7,1,1,20221023,LAL,POR
Shot Chart Detail,0022200037,693,2544,LeBron James,1610612747,Los Angeles Lakers,4,0,7,Made Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,2,6,1,1,20221023,LAL,POR
